List of all songs together
List of songs 
Number of Songs Read in: 495 
Total Views: 1177538085 

Track Name                                                             Artist Name                    Views                     Appears                   
Take What You Want (feat. Ozzy Osbourne & Travis Scott)                Post Malone                    2190633                   1                         
Takeaway                                                               The Chainsmokers               733660                    1                         
Talk (feat. Disclosure)                                                Khalid                         1933205                   1                         
Taste (feat. Offset)                                                   Tyga                           1800869                   1                         
Tattoo                                                                 Rauw Alejandro                 1258977                   1                         
Tattoos Together                                                       Lauv                           1812806                   1                         
Te Boté - Remix                                                        Nio Garcia                     1620617                   1                         
That Way                                                               Lil Uzi Vert                   2434669                   1                         
That's On Me                                                           Mac Miller                     6462701                   2                         
The Box                                                                Roddy Ricch                    5408648                   3                         
The Less I Know The Better                                             Tame Impala                    1737529                   1                         
The London (feat. J. Cole & Travis Scott)                              Young Thug                     2310703                   1                         
The Middle                                                             Zedd                           929766                    1                         
The Other Side (from Trolls World Tour)                                SZA                            1159820                   1                         
the remedy for a broken heart (why am I so in love)                    XXXTENTACION                   667580                    1                         
The Ringer                                                             Eminem                         760943                    1                         
There's No Way (feat. Julia Michaels)                                  Lauv                           1003513                   1                         
These Days                                                             Rudimental                     754922                    1                         
Thinking out Loud                                                      Ed Sheeran                     686301                    1                         
This Feeling (feat. Kelsea Ballerini)                                  The Chainsmokers               1719275                   1                         
Those Kinda Nights (feat. Ed Sheeran)                                  Eminem                         16416620                  2                         
Thunder                                                                Imagine Dragons                953942                    1                         
Thunderclouds                                                          Sia                            1253669                   1                         
Tip Toe (feat. A Boogie Wit da Hoodie)                                 Roddy Ricch                    2394389                   1                         
To Die For                                                             Sam Smith                      1544969                   1                         
Toda - Remix                                                           Alex Rose                      871738                    1                         
TOES (feat. Lil Baby & Moneybagg Yo)                                   DaBaby                         959632                    3                         
Too Good At Goodbyes                                                   Sam Smith                      794542                    1                         
Trampoline (with ZAYN)                                                 SHAED                          725011                    3                         
Transformer (feat. Nicki Minaj)                                        Future                         984275                    1                         
Trip                                                                   Ella Mai                       961196                    1                         
Truth Hurts                                                            Lizzo                          708235                    3                         
